Index	Date	Time	Readings (%RH)	Readings (�C)	Type
305	9/21/2016	2:09:57 AM	62.7	20.2	
306	9/21/2016	3:09:57 AM	62.5	19.4	
307	9/21/2016	4:09:57 AM	65.6	18.9	
308	9/21/2016	5:09:57 AM	66.6	18.2	
309	9/21/2016	6:09:57 AM	67.6	17.8	
310	9/21/2016	7:09:57 AM	67.6	18.6	
311	9/21/2016	8:09:57 AM	63.4	20.2	
312	9/21/2016	9:09:57 AM	58.1	22.0	
313	9/21/2016	10:09:57 AM	52.1	24.2	
314	9/21/2016	11:09:57 AM	47.6	25.9	
315	9/21/2016	12:09:57 PM	41.1	27.6	
316	9/21/2016	1:09:57 PM	37.7	28.8	
317	9/21/2016	2:09:57 PM	36.3	29.4	
318	9/21/2016	3:09:57 PM	34.9	30.6	
319	9/21/2016	4:09:57 PM	32.2	31.2	
320	9/21/2016	5:09:57 PM	35.1	30.2	
321	9/21/2016	6:09:57 PM	35.4	29.1	
322	9/21/2016	7:09:57 PM	37.7	28.4	
323	9/21/2016	8:09:57 PM	36.0	27.6	
324	9/21/2016	9:09:57 PM	38.6	26.2	
325	9/21/2016	10:09:57 PM	40.8	25.7	
326	9/21/2016	11:09:57 PM	41.4	25.1	
327	9/22/2016	12:09:57 AM	44.5	24.3	
328	9/22/2016	1:09:57 AM	47.0	23.1	
329	9/22/2016	2:09:57 AM	46.2	22.9	
330	9/22/2016	3:09:57 AM	47.8	22.3	
331	9/22/2016	4:09:57 AM	48.6	21.6	
332	9/22/2016	5:09:57 AM	50.1	20.8	
333	9/22/2016	6:09:57 AM	52.4	18.9	
334	9/22/2016	7:09:57 AM	51.0	20.3	
335	9/22/2016	8:09:57 AM	46.1	22.4	
336	9/22/2016	9:09:57 AM	44.1	24.7	
337	9/22/2016	10:09:57 AM	37.3	27.7	
338	9/22/2016	11:09:57 AM	30.9	29.3	
339	9/22/2016	12:09:57 PM	26.7	31.1	
340	9/22/2016	1:09:57 PM	22.3	32.8	
341	9/22/2016	2:09:57 PM	19.8	34.1	
342	9/22/2016	3:09:57 PM	20.7	34.6	
343	9/22/2016	4:09:57 PM	19.2	35.0	
344	9/22/2016	5:09:57 PM	24.5	33.7	
345	9/22/2016	6:09:57 PM	26.2	32.6	
346	9/22/2016	7:09:57 PM	27.3	31.8	
347	9/22/2016	8:09:57 PM	26.2	30.7	
348	9/22/2016	9:09:57 PM	27.9	29.7	
349	9/22/2016	10:09:57 PM	31.6	28.9	
350	9/22/2016	11:09:57 PM	29.5	27.9	
351	9/23/2016	12:09:57 AM	29.9	27.2	
352	9/23/2016	1:09:57 AM	32.4	27.4	
353	9/23/2016	2:09:57 AM	32.8	26.6	
354	9/23/2016	3:09:57 AM	35.2	25.7	
355	9/23/2016	4:09:57 AM	51.6	24.9	
356	9/23/2016	5:09:57 AM	59.0	23.6	
357	9/23/2016	6:09:57 AM	59.7	23.1	
358	9/23/2016	7:09:57 AM	59.7	23.0	
359	9/23/2016	8:09:57 AM	59.7	22.8	
360	9/23/2016	9:09:57 AM	58.8	22.6	
361	9/23/2016	10:09:57 AM	57.0	23.1	
362	9/23/2016	11:09:57 AM	53.0	24.2	
363	9/23/2016	12:09:57 PM	49.0	25.8	
364	9/23/2016	1:09:57 PM	45.7	27.0	
365	9/23/2016	2:09:57 PM	43.4	28.2	
366	9/23/2016	3:09:57 PM	43.3	27.9	
367	9/23/2016	4:09:57 PM	40.5	29.1	
368	9/23/2016	5:09:57 PM	41.7	28.1	
