,Temperature
Sheet,1010060340
Datetime,
2016-11-02 04:39:39,26.8
2016-11-02 05:39:39,26.3
2016-11-02 06:39:39,26.2
2016-11-02 07:39:39,25.9
2016-11-02 08:39:39,25.4
2016-11-02 09:39:39,25.8
2016-11-02 10:39:39,27.3
2016-11-02 11:39:39,26.9
2016-11-02 12:39:39,27.1
2016-11-03 01:39:39,26.9
2016-11-03 02:39:39,26.6
2016-11-03 03:39:39,26.3
2016-11-03 04:39:39,26.2
2016-11-03 05:39:39,25.8
2016-11-03 06:39:39,25.7
2016-11-03 07:39:39,25.7
2016-11-03 08:39:39,26.3
2016-11-03 09:39:39,27.0
2016-11-03 10:39:39,27.1
2016-11-03 11:39:39,27.7
2016-11-03 12:39:39,26.8
2016-11-04 01:39:39,27.9
2016-11-04 02:39:39,27.7
2016-11-04 03:39:39,27.4
2016-11-04 04:39:39,27.1
2016-11-04 05:39:39,27.1
2016-11-04 06:39:39,27.8
2016-11-04 07:39:39,29.2
2016-11-04 08:39:39,30.6
2016-11-04 09:39:39,31.6
2016-11-04 10:39:39,32.1
2016-11-04 11:39:39,32.8
2016-11-04 12:39:39,28.2
2016-11-05 01:39:39,30.6
2016-11-05 02:39:39,30.2
2016-11-05 03:39:39,29.8
2016-11-05 04:39:39,29.4
2016-11-05 05:39:39,29.3
2016-11-05 06:39:39,30.3
2016-11-05 07:39:39,31.6
2016-11-05 08:39:39,32.4
2016-11-05 09:39:39,33.6
2016-11-05 10:39:39,34.2
2016-11-05 11:39:39,34.7
2016-11-05 12:39:39,30.9
2016-11-06 01:39:39,31.3
2016-11-06 02:39:39,30.7
2016-11-06 03:39:39,30.2
2016-11-06 04:39:39,30.2
2016-11-06 05:39:39,30.1
2016-11-06 06:39:39,31.4
2016-11-06 07:39:39,32.4
2016-11-06 08:39:39,33.1
2016-11-06 09:39:39,33.0
2016-11-06 10:39:39,33.8
2016-11-06 11:39:39,35.1
2016-11-06 12:39:39,31.7
2016-11-07 01:39:39,31.0
2016-11-07 02:39:39,30.4
2016-11-07 03:39:39,30.1
2016-11-07 04:39:39,30.0
2016-11-07 05:39:39,29.0
2016-11-07 06:39:39,28.6
2016-11-07 07:39:39,27.4
2016-11-07 08:39:39,28.4
2016-11-07 09:39:39,29.8
2016-11-07 10:39:39,29.6
2016-11-07 11:39:39,28.4
2016-11-07 12:39:39,32.4
2016-11-08 01:39:39,27.4
2016-11-08 02:39:39,27.2
2016-11-08 03:39:39,27.2
